ds,y,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-11-21,149.26033333333336,14.594718212057412,149.18104919100836,151.0983347193577,14.594718212057412,14.594718212057412,135.53964130658179,135.53964130658179,135.53964130658179,129.06467597881277,129.06467597881277,129.06467597881277,6.4749653277690244,6.4749653277690244,6.4749653277690244,0.0,0.0,0.0,150.1343595186392
2019-11-22,149.57000000000002,14.795541035715631,149.91330482266898,151.8920184838322,14.795541035715631,14.795541035715631,136.07489207169237,136.07489207169237,136.07489207169237,129.06467597881277,129.06467597881277,129.06467597881277,7.010216092879582,7.010216092879582,7.010216092879582,0.0,0.0,0.0,150.87043310740802
2019-11-25,150.83333333333334,15.398009506690297,149.99015565472826,151.9383396131381,15.398009506690297,15.398009506690297,135.58997081748973,135.58997081748973,135.58997081748973,129.0646759788128,129.0646759788128,129.0646759788128,6.525294838676941,6.525294838676941,6.525294838676941,0.0,0.0,0.0,150.98798032418003
2019-11-26,151.92333333333332,15.597001099438955,149.83586086483567,151.72954907294456,15.597001099438955,15.597001099438955,135.1461107901087,135.1461107901087,135.1461107901087,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811295903,6.081434811295903,6.081434811295903,0.0,0.0,0.0,150.74311188954766
2019-11-27,152.11333333333332,15.461926040037472,149.7524820005619,151.64543474820687,15.461926040037472,15.461926040037472,135.23893826537264,135.23893826537264,135.23893826537264,129.0646759788128,129.0646759788128,129.0646759788128,6.174262286559851,6.174262286559851,6.174262286559851,0.0,0.0,0.0,150.7008643054101
2019-11-29,151.65333333333334,15.191775921234505,150.24536204447912,152.23820544547098,15.191775921234505,15.191775921234505,136.07489207167635,136.07489207167635,136.07489207167635,129.0646759788128,129.0646759788128,129.0646759788128,7.010216092863565,7.010216092863565,7.010216092863565,0.0,0.0,0.0,151.26666799291084
2019-12-02,149.9,14.786550742895722,149.4085993805696,151.39118155811047,14.786550742895722,14.786550742895722,135.5899708174884,135.5899708174884,135.5899708174884,129.0646759788128,129.0646759788128,129.0646759788128,6.525294838675595,6.525294838675595,6.525294838675595,0.0,0.0,0.0,150.3765215603841
2019-12-03,148.46333333333334,14.651475683449458,148.8264537273049,150.82012593620414,14.651475683449458,14.651475683449458,135.14611079011163,135.14611079011163,135.14611079011163,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811298848,6.081434811298848,6.081434811298848,0.0,0.0,0.0,149.7975864735611
2019-12-04,149.7433,14.516715294500589,148.7497651037893,150.75618251381087,14.516715294500589,14.516715294500589,135.23893826537235,135.23893826537235,135.23893826537235,129.06467597881277,129.06467597881277,129.06467597881277,6.174262286559576,6.174262286559576,6.174262286559576,0.0,0.0,0.0,149.75565355987294
2019-12-05,149.91,14.762038770272627,149.32956553966628,151.31312040859228,14.762038770272627,14.762038770272627,135.5396413065823,135.5396413065823,135.5396413065823,129.06467597881277,129.06467597881277,129.06467597881277,6.474965327769522,6.474965327769522,6.474965327769522,0.0,0.0,0.0,150.30168007685492
2019-12-06,151.29666666666665,15.00736224604467,150.04919566888043,151.96862989067398,15.00736224604467,15.00736224604467,136.07489207171074,136.07489207171074,136.07489207171074,129.0646759788128,129.0646759788128,129.0646759788128,7.01021609289791,7.01021609289791,7.01021609289791,0.0,0.0,0.0,151.0822543177554
2019-12-09,151.49333333333334,16.17029686328194,150.77964008156124,152.7126078159273,16.17029686328194,16.17029686328194,135.58997081752165,135.58997081752165,135.58997081752165,129.06467597881277,129.06467597881277,129.06467597881277,6.525294838708857,6.525294838708857,6.525294838708857,0.0,0.0,0.0,151.7602676808036
2019-12-10,151.26166666666666,16.557941735694367,150.7202447433661,152.68070921183005,16.557941735694367,16.557941735694367,135.14611079010476,135.14611079010476,135.14611079010476,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811291951,6.081434811291951,6.081434811291951,0.0,0.0,0.0,151.7040525257991
2019-12-11,151.3,16.94636541510099,151.18652787301585,153.1528862010536,16.94636541510099,16.94636541510099,135.23893826537204,135.23893826537204,135.23893826537204,129.06467597881274,129.06467597881274,129.06467597881274,6.174262286559303,6.174262286559303,6.174262286559303,0.0,0.0,0.0,152.18530368047303
